,nameWithOwner,createdAt,forkCount,primaryLanguage.name,stargazers.totalCount,releases.totalCount,releases.nodes
0,Netflix/ribbon,2013-01-15T01:08:04Z,985,Java,3729,40,"[{'publishedAt': '2014-07-09T19:25:08Z'}, {'publishedAt': '2014-07-09T19:28:42Z'}, {'publishedAt': '2014-07-12T03:46:50Z'}, {'publishedAt': '2014-07-24T00:09:55Z'}, {'publishedAt': '2014-07-30T17:52:19Z'}, {'publishedAt': '2014-08-25T21:37:34Z'}, {'publishedAt': '2014-08-28T15:53:17Z'}, {'publishedAt': '2014-09-19T20:43:45Z'}, {'publishedAt': '2016-10-24T18:39:55Z'}, {'publishedAt': '2016-10-25T04:29:35Z'}]"
1,androidx/androidx,2020-04-17T19:17:41Z,154,Java,2031,0,[]
2,radkovo/CSSBox,2014-01-05T22:02:40Z,70,Java,168,0,[]
3,entando/entando-core,2014-08-22T14:23:11Z,35,Java,82,14,"[{'publishedAt': '2018-05-28T16:40:09Z'}, {'publishedAt': '2018-05-29T05:17:43Z'}, {'publishedAt': '2018-11-17T09:11:31Z'}, {'publishedAt': '2018-11-26T12:57:48Z'}, {'publishedAt': '2019-03-08T12:41:46Z'}, {'publishedAt': '2019-04-05T13:32:47Z'}, {'publishedAt': '2019-07-19T09:44:00Z'}, {'publishedAt': '2020-04-14T10:51:47Z'}, {'publishedAt': '2020-04-23T18:29:02Z'}, {'publishedAt': '2020-05-21T13:34:12Z'}]"
4,OpenJML/OpenJML,2015-06-30T20:40:28Z,19,Java,75,52,"[{'publishedAt': '2015-12-02T05:49:14Z'}, {'publishedAt': '2016-08-20T23:43:06Z'}, {'publishedAt': '2016-09-21T15:03:10Z'}, {'publishedAt': '2016-09-23T16:40:55Z'}, {'publishedAt': '2016-09-30T11:08:52Z'}, {'publishedAt': '2016-10-31T21:00:55Z'}, {'publishedAt': '2016-11-02T08:21:40Z'}, {'publishedAt': '2016-11-03T06:33:02Z'}, {'publishedAt': '2016-11-21T19:44:27Z'}, {'publishedAt': '2016-12-05T14:13:54Z'}]"
5,radkovo/jStyleParser,2014-01-02T21:12:24Z,48,Java,69,0,[]
6,by-syk/ColorReference,2016-04-04T13:24:07Z,11,Java,44,5,"[{'publishedAt': '2016-04-13T14:10:19Z'}, {'publishedAt': '2016-04-16T08:17:21Z'}, {'publishedAt': '2016-05-20T04:48:34Z'}, {'publishedAt': '2017-01-14T07:55:43Z'}, {'publishedAt': '2017-01-14T15:42:44Z'}]"
7,Squarespace/template-compiler,2015-05-20T14:24:32Z,7,Java,32,0,[]
8,saisasanksunkavalli/RoundedHorizontalProgressBar,2017-02-19T14:19:30Z,10,Java,24,0,[]
9,quaap/Primary,2016-12-02T01:00:20Z,11,Java,20,6,"[{'publishedAt': '2016-12-22T20:33:01Z'}, {'publishedAt': '2017-01-04T04:54:37Z'}, {'publishedAt': '2017-01-08T03:07:58Z'}, {'publishedAt': '2017-07-13T23:11:40Z'}, {'publishedAt': '2017-10-10T20:42:34Z'}, {'publishedAt': '2018-08-21T02:18:30Z'}]"
10,nadimgouia/CoolToast,2017-08-26T17:07:14Z,7,Java,20,0,[]
11,Thutmose/Pokecube,2015-11-26T20:06:48Z,9,Java,19,1,[{'publishedAt': '2018-07-29T17:05:39Z'}]
